url,label,xml_id
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f1/full/full/0/native.jpg,"plat sup.",f000
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f2/full/full/0/native.jpg,"contreplat sup.",f001
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f3/full/full/0/native.jpg,"page de garde recto",f002
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f4/full/full/0/native.jpg,"page de garde verso",f003
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f5/full/full/0/native.jpg,"NP",f004
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f6/full/full/0/native.jpg,"NP",f005
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f7/full/full/0/native.jpg,"1r",f006
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f8/full/full/0/native.jpg,"1v",f007
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f9/full/full/0/native.jpg,"2r",f008
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f10/full/full/0/native.jpg,"2v",f009
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f11/full/full/0/native.jpg,"3r",f010
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f12/full/full/0/native.jpg,"3v",f011
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f13/full/full/0/native.jpg,"4r",f012
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f14/full/full/0/native.jpg,"4v",f013
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f15/full/full/0/native.jpg,"5r",f014
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f16/full/full/0/native.jpg,"5v",f015
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f17/full/full/0/native.jpg,"6r",f016
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f18/full/full/0/native.jpg,"6v",f017
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f19/full/full/0/native.jpg,"7r",f018
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f20/full/full/0/native.jpg,"7v",f019
